City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,brevard,28.292,-80.7492,31.13,75,0,6.69,US,1686167221
331,wangaratta,-36.3667,146.3333,15.26,91,100,4.3,AU,1686167221
332,newman,37.3138,-121.0208,24.19,58,90,1.79,US,1686167221
333,mirzapur,25.15,82.5833,33.3,20,2,2.11,IN,1686167222
334,flying fish cove,-10.4217,105.6791,24.82,83,75,6.17,CX,1686167108
335,qamdo,31.1667,97.2333,3.74,56,0,0.38,CN,1686167222
336,ghat,24.9647,10.1728,32.42,17,10,3.86,LY,1686167222
337,daru,-9.0763,143.2092,25.62,89,100,7.37,PG,1686167222
338,namibe,-15.1961,12.1522,18.37,78,5,3.82,AO,1686167222
339,nenjiang,49.1833,125.2167,9.86,92,65,2.41,CN,1686167223
340,yeniseysk,58.4497,92.1703,18.34,75,50,2.35,RU,1686167223
341,debre werk',10.6667,38.1667,16.54,68,94,1.4,ET,1686167223
342,argo,37.6333,22.7333,22.66,69,94,0.37,GR,1686167223
343,alice springs,-23.7,133.8833,10.75,100,0,2.06,AU,1686167223
344,malvan,16.0667,73.4667,28.63,84,58,3.46,IN,1686167223
345,trincomalee,8.5711,81.2335,28.05,76,100,10.14,LK,1686167223
346,mariental,-24.6333,17.9667,16.05,17,0,4.57,NA,1686167224
347,sisimiut,66.9395,-53.6735,0.35,68,100,2.75,GL,1686167224
348,acarau,-2.8856,-40.12,27.32,80,2,5.78,BR,1686167224
349,horta,38.5333,-28.6333,18.9,74,40,5.81,PT,1686167224
350,saanen,46.4896,7.2596,20.43,85,8,1.52,CH,1686167224
351,saijo,33.9167,133.1833,18.6,63,100,0.7,JP,1686167224
352,westport,41.1415,-73.3579,20.96,42,100,4.63,US,1686167108
353,frontera,26.9333,-101.45,32.96,46,75,1.79,MX,1686167224
354,tazovsky,67.4667,78.7,6.3,76,58,3.5,RU,1686167225
355,jinchang,38.4953,102.1739,20.23,21,55,2.74,CN,1686167225
356,dwarka,22.2394,68.9678,28.51,84,16,7.3,IN,1686167225
357,sharkan,57.2989,53.8712,7.82,80,9,2.39,RU,1686167225
358,al jawf,29.5,38.75,28.66,18,0,1.97,SA,1686167225
359,bengkulu,-3.8004,102.2655,24.21,91,68,2.52,ID,1686167225
360,villa hidalgo,21.6667,-102.6,28.3,15,3,3.6,MX,1686167226
361,koster,-25.863,26.8976,13.26,60,5,2.41,ZA,1686167226
362,katsuren-haebaru,26.3369,127.8719,26.21,94,0,3.09,JP,1686167226
363,kavaratti,10.5669,72.642,30.19,74,95,5.88,IN,1686167226
364,bikenibeu village,1.3673,173.1241,26.98,89,75,3.6,KI,1686167226
365,san pedro,14.35,121.0167,26.81,91,75,1.54,PH,1686167043
366,karratha,-20.7377,116.8463,17.86,62,6,4.26,AU,1686167227
